encounter_id,spacecraft,date,year,month,probe,sza_deg,mlt,cone_deg,clock_deg,dp_nPa,bz_nT,near_occ,bg_occ,Dn,EB,qc_transition_cleanliness,qc_disturbance,qc_boundary_motion,omni_context_quality_note,boundary_uncertainty_note,routeC_core_usable,exclude_reason,cone_bin
exp_20100930_thd,themis,2010-09-30,2010,9,thd,2.5,12.0,71.4,335.8,0.75,2.31,0.8356,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100930_the,themis,2010-09-30,2010,9,the,2.1,12.0,70.3,325.1,0.74,2.24,0.8884,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101001_tha,themis,2010-10-01,2010,10,tha,0.4,12.0,52.2,280.4,0.88,0.44,0.9488,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20101001_thd,themis,2010-10-01,2010,10,thd,2.9,12.0,49.3,280.9,0.89,0.46,0.864,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20101001_the,themis,2010-10-01,2010,10,the,2.5,12.0,51.7,280.4,0.89,0.44,0.9166,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20101002_thd,themis,2010-10-02,2010,10,thd,3.4,12.0,61.4,294.9,0.66,1.01,0.8668,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101003_tha,themis,2010-10-03,2010,10,tha,1.4,12.0,52.8,229.9,0.77,-1.23,0.9873,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100927_the,themis,2010-09-27,2010,9,the,0.8,12.0,42.1,302.6,1.34,0.3,0.8202,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,low-cone
exp_20101002_the,themis,2010-10-02,2010,10,the,3.0,12.0,58.3,296.3,0.66,1.01,0.9222,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20101003_thd,themis,2010-10-03,2010,10,thd,3.8,12.0,51.0,228.2,0.78,-1.33,0.9009,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100926_thd,themis,2010-09-26,2010,9,thd,0.9,12.0,73.1,350.8,1.47,3.04,0.8108,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101004_tha,themis,2010-10-04,2010,10,tha,1.9,12.0,88.6,216.1,1.16,-2.14,0.6762,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101004_the,themis,2010-10-04,2010,10,the,3.8,12.0,88.9,216.1,1.16,-2.14,0.7198,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101004_thd,themis,2010-10-04,2010,10,thd,4.2,12.0,89.6,210.3,1.14,-2.17,0.746,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101002_tha,themis,2010-10-02,2010,10,tha,0.9,12.0,58.3,296.3,0.66,1.01,0.9549,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100928_thd,themis,2010-09-28,2010,9,thd,1.7,12.0,74.8,272.8,1.38,0.19,0.8159,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101005_tha,themis,2010-10-05,2010,10,tha,2.4,12.0,78.1,131.8,0.91,-4.35,0.6451,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101005_the,themis,2010-10-05,2010,10,the,4.2,12.0,78.0,131.6,0.9,-4.33,0.6905,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101006_tha,themis,2010-10-06,2010,10,tha,2.9,12.0,80.9,131.6,1.76,-4.01,0.5756,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101006_thd,themis,2010-10-06,2010,10,thd,5.0,12.0,79.3,130.4,1.77,-3.86,0.5351,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101007_tha,themis,2010-10-07,2010,10,tha,3.4,12.0,57.1,131.6,1.43,-1.83,0.5255,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20101007_thd,themis,2010-10-07,2010,10,thd,5.5,12.0,60.8,133.6,1.3,-2.16,0.6611,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20101007_the,themis,2010-10-07,2010,10,the,5.1,12.0,57.3,131.6,1.42,-1.84,0.5672,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20101008_thd,themis,2010-10-08,2010,10,thd,5.9,12.0,57.7,324.6,1.45,1.21,0.6661,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
